review_id,text,issue_category_code,source_code,rating,notes
qwen-cleanliness-030,"The bathroom was clean, but the floor was slippery and needed more cleaning.",cleanliness,qwen_synthetic_draft,2,qwen-generated draft; requires human review
qwen-cleanliness-031,"The room was very clean, the sheets were fresh and the bathroom spotless.",cleanliness,qwen_synthetic_draft,5,qwen-generated draft; requires human review
qwen-cleanliness-032,I stayed here for a week and couldn't find a single speck of dust anywhere!,cleanliness,qwen_synthetic_draft,4,qwen-generated draft; requires human review
qwen-cleanliness-033,"The linen was crisp and clean, making my stay comfortable and relaxing.",cleanliness,qwen_synthetic_draft,4,qwen-generated draft; requires human review
qwen-cleanliness-034,My room was spotless when I arrived. Everything was in perfect condition.,cleanliness,qwen_synthetic_draft,5,qwen-generated draft; requires human review
qwen-cleanliness-035,"The hotel's public areas were clean and well-maintained, which was a relief after a long day of traveling.",cleanliness,qwen_synthetic_draft,4,qwen-generated draft; requires human review
qwen-cleanliness-036,"I found a tiny bit of dust on the pillow when I checked in. Not ideal, but overall still quite nice.",cleanliness,qwen_synthetic_draft,3,qwen-generated draft; requires human review
qwen-cleanliness-037,"The bathroom had a small stain, but it was cleaned promptly and efficiently.",cleanliness,qwen_synthetic_draft,4,qwen-generated draft; requires human review
qwen-cleanliness-038,My linen was quite old and not as clean as expected. It's definitely room for improvement.,cleanliness,qwen_synthetic_draft,2,qwen-generated draft; requires human review
qwen-cleanliness-039,"I noticed some minor dust accumulation in the room, but nothing too significant.",cleanliness,qwen_synthetic_draft,3,qwen-generated draft; requires human review
qwen-cleanliness-040,"The hotel's cleanliness was excellent during my stay, and I would highly recommend it.",cleanliness,qwen_synthetic_draft,5,qwen-generated draft; requires human review
qwen-room-condition-001,"The room was a bit dark and the curtains were old, affecting my sleep.",room_condition,qwen_synthetic_draft,2,qwen-generated draft; requires human review
qwen-room-condition-002,"The air conditioning was broken for most of the stay, making it extremely hot during the summer.",room_condition,qwen_synthetic_draft,3,qwen-generated draft; requires human review
qwen-room-condition-003,The bathroom fixtures were very old and creaky.,room_condition,qwen_synthetic_draft,1,qwen-generated draft; requires human review
qwen-room-condition-004,The floor tiles were worn out and the carpet was dirty.,room_condition,qwen_synthetic_draft,2,qwen-generated draft; requires human review
qwen-room-condition-005,"The hot water system was slow, causing a lot of frustration.",room_condition,qwen_synthetic_draft,3,qwen-generated draft; requires human review
qwen-room-condition-006,There was significant noise insulation issues from neighboring rooms.,room_condition,qwen_synthetic_draft,4,qwen-generated draft; requires human review
qwen-room-condition-007,"The room was clean, but the linens were old and unrefreshing.",room_condition,qwen_synthetic_draft,2,qwen-generated draft; requires human review
qwen-room-condition-008,The bathroom had a leaky faucet that caused water damage to the wall.,room_condition,qwen_synthetic_draft,1,qwen-generated draft; requires human review
qwen-room-condition-009,"The window panes were foggy, making it hard to see outside.",room_condition,qwen_synthetic_draft,3,qwen-generated draft; requires human review
qwen-room-condition-010,The carpet was worn and needed replacing.,room_condition,qwen_synthetic_draft,2,qwen-generated draft; requires human review
qwen-room-condition-011,The room was in poor condition when we arrived. The air conditioning wasn't working and the water heater broke shortly after we checked in.,room_condition,qwen_synthetic_draft,1,qwen-generated draft; requires human review
qwen-room-condition-012,Our hotel room had a leaky faucet and the carpet was worn out. It felt like staying in an old house.,room_condition,qwen_synthetic_draft,2,qwen-generated draft; requires human review
qwen-room-condition-013,"The windows were rattling due to poor insulation, and the floor tiles were cracked. We stayed for three nights but it made us feel uncomfortable every day.",room_condition,qwen_synthetic_draft,3,qwen-generated draft; requires human review
qwen-room-condition-014,"The bathroom sink was clogged, and there was no hot water available. The air conditioning was too cold, making it difficult to sleep.",room_condition,qwen_synthetic_draft,1,qwen-generated draft; requires human review
qwen-room-condition-015,"The room had a musty smell, and the carpet was infested with ants. The shower door broke during our stay.",room_condition,qwen_synthetic_draft,2,qwen-generated draft; requires human review
qwen-room-condition-016,The air conditioning in our room didn't work at all for two days. The bathroom mirror fogged up every time we took a shower.,room_condition,qwen_synthetic_draft,3,qwen-generated draft; requires human review
qwen-room-condition-017,"The room had a significant leak in the ceiling, causing water damage to our belongings. The carpet was also damaged and needed replacement.",room_condition,qwen_synthetic_draft,1,qwen-generated draft; requires human review
qwen-room-condition-018,"Our hotel room had a moldy smell, and the toilet was clogged. The air conditioning wasn't effective, making us feel hot and sweaty.",room_condition,qwen_synthetic_draft,2,qwen-generated draft; requires human review
qwen-room-condition-019,"The windows in our room were broken, causing drafts and noise insulation issues. The bathroom sink broke during our stay, leaving us with no hot water.",room_condition,qwen_synthetic_draft,3,qwen-generated draft; requires human review
qwen-room-condition-020,"Our hotel room had a musty odor, and the shower door was cracked. The air conditioning was too cold, making it difficult to sleep.",room_condition,qwen_synthetic_draft,1,qwen-generated draft; requires human review
qwen-room-condition-021,"The air conditioning was broken for most of our stay, making it very uncomfortable.",room_condition,qwen_synthetic_draft,2,qwen-generated draft; requires human review
qwen-room-condition-022,Our room had a leaky faucet that required constant attention and cleaning.,room_condition,qwen_synthetic_draft,3,qwen-generated draft; requires human review
qwen-room-condition-023,The floor in our room was cracked and needed repairs as soon as possible.,room_condition,qwen_synthetic_draft,4,qwen-generated draft; requires human review
qwen-room-condition-024,"The hot water heater failed, leaving us with cold showers for several days.",room_condition,qwen_synthetic_draft,2,qwen-generated draft; requires human review
qwen-room-condition-025,"Noise insulation was poor, and the construction noises disturbed our sleep significantly.",room_condition,qwen_synthetic_draft,3,qwen-generated draft; requires human review
qwen-room-condition-026,"One of the beds in the room was broken, which made it difficult to get a good night's rest.",room_condition,qwen_synthetic_draft,4,qwen-generated draft; requires human review
qwen-room-condition-027,"The air conditioning stopped working completely during our stay, leaving us hot and uncomfortable.",room_condition,qwen_synthetic_draft,2,qwen-generated draft; requires human review
qwen-room-condition-028,There was mold and mildew in one of the rooms that needed thorough cleaning.,room_condition,qwen_synthetic_draft,3,qwen-generated draft; requires human review
qwen-room-condition-029,The room had a small leak under the bed that required immediate attention.,room_condition,qwen_synthetic_draft,4,qwen-generated draft; requires human review
qwen-room-condition-030,"The hot water pressure was very low, making it hard to wash dishes properly.",room_condition,qwen_synthetic_draft,2,qwen-generated draft; requires human review
qwen-room-condition-031,The air conditioning was so poor that I had to use a hair dryer to cool down my room. This is unacceptable for a hotel!,room_condition,qwen_synthetic_draft,1,qwen-generated draft; requires human review
qwen-room-condition-032,"My room was in really bad shape when we arrived. The carpet was worn out, and the shower wasn't working properly.",room_condition,qwen_synthetic_draft,2,qwen-generated draft; requires human review
qwen-room-condition-033,The hot water system was broken for several days. I had to stay at another hotel during my entire stay.,room_condition,qwen_synthetic_draft,1,qwen-generated draft; requires human review
qwen-room-condition-034,"There was a lot of noise coming from the floor above, which made it difficult to sleep.",room_condition,qwen_synthetic_draft,2,qwen-generated draft; requires human review
qwen-room-condition-035,The room was quite small and cramped. There wasn't enough space for two people.,room_condition,qwen_synthetic_draft,3,qwen-generated draft; requires human review
qwen-room-condition-036,"The lighting in the room was very dim, making it hard to read at night.",room_condition,qwen_synthetic_draft,2,qwen-generated draft; requires human review
qwen-room-condition-037,The towels were very old and didn't feel soft. This is a huge letdown for a hotel.,room_condition,qwen_synthetic_draft,1,qwen-generated draft; requires human review
qwen-room-condition-038,"There was no air conditioning in the room, so we had to rely on the fan instead. It was uncomfortable during the hot weather.",room_condition,qwen_synthetic_draft,2,qwen-generated draft; requires human review
qwen-room-condition-039,"The shower door was broken, making it difficult to enter and exit the bathroom.",room_condition,qwen_synthetic_draft,1,qwen-generated draft; requires human review
qwen-room-condition-040,"The room was clean, but the bedding needed some updating. The sheets were thin and didn't feel comfortable.",room_condition,qwen_synthetic_draft,3,qwen-generated draft; requires human review
qwen-food-beverage-001,The restaurant was a bit slow but the food was delicious.,food_beverage,qwen_synthetic_draft,4,qwen-generated draft; requires human review
qwen-food-beverage-002,I had a great breakfast at the hotel. The service was top-notch.,food_beverage,qwen_synthetic_draft,5,qwen-generated draft; requires human review
qwen-food-beverage-003,The bar area was cozy and they have good drinks.,food_beverage,qwen_synthetic_draft,4,qwen-generated draft; requires human review
qwen-food-beverage-004,"Room service took a long time today, but the food was okay.",food_beverage,qwen_synthetic_draft,3,qwen-generated draft; requires human review
qwen-food-beverage-005,Had to order from room service again - it was expensive.,food_beverage,qwen_synthetic_draft,2,qwen-generated draft; requires human review
qwen-food-beverage-006,Dining hall had great variety of dishes. Service was prompt.,food_beverage,qwen_synthetic_draft,5,qwen-generated draft; requires human review
qwen-food-beverage-007,Food quality was poor and portions were small.,food_beverage,qwen_synthetic_draft,1,qwen-generated draft; requires human review
qwen-food-beverage-008,Brought my own breakfast and it was delicious.,food_beverage,qwen_synthetic_draft,4,qwen-generated draft; requires human review
qwen-food-beverage-009,Bar area was crowded and noisy tonight.,food_beverage,qwen_synthetic_draft,3,qwen-generated draft; requires human review
qwen-food-beverage-010,Had a great time at the hotel restaurant. Food was excellent.,food_beverage,qwen_synthetic_draft,5,qwen-generated draft; requires human review
qwen-food-beverage-011,The restaurant was terrible. The food was cold and tasted like it had been sitting out all day.,food_beverage,qwen_synthetic_draft,1,qwen-generated draft; requires human review
qwen-food-beverage-012,The service at the bar was slow and unhelpful. I left feeling disappointed.,food_beverage,qwen_synthetic_draft,2,qwen-generated draft; requires human review
qwen-food-beverage-013,"The room service delivery was prompt, but the food quality was hit-or-miss.",food_beverage,qwen_synthetic_draft,3,qwen-generated draft; requires human review
qwen-food-beverage-014,I had a great breakfast experience at this hotel. The pancakes were delicious and fresh.,food_beverage,qwen_synthetic_draft,5,qwen-generated draft; requires human review
qwen-food-beverage-015,"The restaurant's ambiance was nice, but the food was just okay.",food_beverage,qwen_synthetic_draft,4,qwen-generated draft; requires human review
qwen-food-beverage-016,I enjoyed my dinner at the hotel's restaurant. The service was exceptional.,food_beverage,qwen_synthetic_draft,5,qwen-generated draft; requires human review
qwen-food-beverage-017,"The bar was quiet and peaceful, perfect for a relaxing evening.",food_beverage,qwen_synthetic_draft,4,qwen-generated draft; requires human review
qwen-food-beverage-018,The food in the room service was not up to par. It took too long to arrive.,food_beverage,qwen_synthetic_draft,2,qwen-generated draft; requires human review
qwen-food-beverage-019,I had an excellent lunch at the hotel's restaurant. The staff were very friendly.,food_beverage,qwen_synthetic_draft,5,qwen-generated draft; requires human review
qwen-food-beverage-020,"The bar was very lively, but the drinks tasted strange and overpriced.",food_beverage,qwen_synthetic_draft,2,qwen-generated draft; requires human review
qwen-food-beverage-021,The room service was quick and the food was surprisingly good for a hotel.,food_beverage,qwen_synthetic_draft,4,qwen-generated draft; requires human review
qwen-food-beverage-022,I enjoyed my stay at this hotel and especially the excellent restaurant.,food_beverage,qwen_synthetic_draft,5,qwen-generated draft; requires human review
qwen-food-beverage-023,"The coffee in the breakfast buffet was not very tasty, which disappointed me.",food_beverage,qwen_synthetic_draft,2,qwen-generated draft; requires human review
qwen-food-beverage-024,"The bar had a wide variety of drinks, but the service could have been better.",food_beverage,qwen_synthetic_draft,3,qwen-generated draft; requires human review
qwen-food-beverage-025,The restaurant provided an excellent meal and attentive service.,food_beverage,qwen_synthetic_draft,5,qwen-generated draft; requires human review
qwen-food-beverage-026,"The room service took too long to arrive, and I didn't enjoy my food much.",food_beverage,qwen_synthetic_draft,1,qwen-generated draft; requires human review
qwen-food-beverage-027,"I was happy with the breakfast, but disappointed by the quality of the restaurant.",food_beverage,qwen_synthetic_draft,3,qwen-generated draft; requires human review
qwen-food-beverage-028,"The bar staff were friendly, but the selection of drinks was limited.",food_beverage,qwen_synthetic_draft,2,qwen-generated draft; requires human review
qwen-food-beverage-029,"The room service was punctual, and the food was just okay.",food_beverage,qwen_synthetic_draft,3,qwen-generated draft; requires human review
qwen-food-beverage-030,"I had a wonderful meal at the hotel's restaurant, which is a great addition to their facilities.",food_beverage,qwen_synthetic_draft,5,qwen-generated draft; requires human review
qwen-food-beverage-031,The buffet was disappointing. The food portions were small and the service was slow.,food_beverage,qwen_synthetic_draft,2,qwen-generated draft; requires human review
qwen-food-beverage-032,I had a great time at the rooftop bar. The drinks were excellent and the views were stunning.,food_beverage,qwen_synthetic_draft,5,qwen-generated draft; requires human review
qwen-food-beverage-033,"The room service was timely, but the food quality was hit or miss.",food_beverage,qwen_synthetic_draft,3,qwen-generated draft; requires human review
qwen-food-beverage-034,I love the breakfast at this hotel. The pancakes are always fresh and delicious.,food_beverage,qwen_synthetic_draft,4,qwen-generated draft; requires human review
qwen-food-beverage-035,"The bar wasn't open when I arrived, which was a disappointment.",food_beverage,qwen_synthetic_draft,2,qwen-generated draft; requires human review
qwen-food-beverage-036,I had dinner in the restaurant yesterday. The service was excellent and the food was amazing.,food_beverage,qwen_synthetic_draft,5,qwen-generated draft; requires human review
qwen-food-beverage-037,The banquet hall for my event was beautiful and the catering team did a great job.,food_beverage,qwen_synthetic_draft,4,qwen-generated draft; requires human review
qwen-food-beverage-038,"I tried the new restaurant on-site. The ambiance was nice, but the food was too expensive.",food_beverage,qwen_synthetic_draft,3,qwen-generated draft; requires human review
qwen-food-beverage-039,The breakfast buffet is one of my favorite parts about staying at this hotel.,food_beverage,qwen_synthetic_draft,5,qwen-generated draft; requires human review
qwen-food-beverage-040,I had a terrible experience with the room service. The food arrived cold and was inedible.,food_beverage,qwen_synthetic_draft,1,qwen-generated draft; requires human review
qwen-service-delay-001,I had to wait for over an hour at the front desk just to check in. It was a real hassle.,service_delay,qwen_synthetic_draft,2,qwen-generated draft; requires human review
qwen-service-delay-002,"The room service was delayed by two hours, and when they finally brought it, it wasn't what I ordered.",service_delay,qwen_synthetic_draft,3,qwen-generated draft; requires human review
qwen-service-delay-003,"I asked for an upgrade, but it took days to get through the process. It's frustrating.",service_delay,qwen_synthetic_draft,4,qwen-generated draft; requires human review
qwen-service-delay-004,The concierge service was unresponsive and couldn't help me with my booking issues.,service_delay,qwen_synthetic_draft,2,qwen-generated draft; requires human review
qwen-service-delay-005,"I had to wait for my luggage to be delivered, but it wasn't until the very last minute of my stay.",service_delay,qwen_synthetic_draft,3,qwen-generated draft; requires human review
qwen-service-delay-006,"The restaurant took forever to serve us, and our waiter kept disappearing without bringing food.",service_delay,qwen_synthetic_draft,2,qwen-generated draft; requires human review
qwen-service-delay-007,"I asked for a room service call, but they didn't come until after I had left the hotel.",service_delay,qwen_synthetic_draft,3,qwen-generated draft; requires human review
qwen-service-delay-008,"The front desk staff was slow to resolve an issue with my reservation, causing me to stay an extra night.",service_delay,qwen_synthetic_draft,4,qwen-generated draft; requires human review
qwen-service-delay-009,"I asked for a bed change due to a broken mattress, but it took over a week to get another room.",service_delay,qwen_synthetic_draft,2,qwen-generated draft; requires human review
qwen-service-delay-010,"The hotel's housekeeping service was delayed by two days, and my room remained dirty.",service_delay,qwen_synthetic_draft,3,qwen-generated draft; requires human review
qwen-service-delay-011,I had to wait for over an hour just to check in at the front desk due to a slow computer system.,service_delay,qwen_synthetic_draft,2,qwen-generated draft; requires human review
qwen-service-delay-012,"The hotel was completely booked, and we had to wait in line for nearly two hours to be seated at dinner.",service_delay,qwen_synthetic_draft,3,qwen-generated draft; requires human review
qwen-service-delay-013,"I called the housekeeping department multiple times on my first day, but no one responded until late that evening.",service_delay,qwen_synthetic_draft,2,qwen-generated draft; requires human review
qwen-service-delay-014,Our room service call went unanswered for almost an hour before we were finally connected to someone who could help us place an order.,service_delay,qwen_synthetic_draft,3,qwen-generated draft; requires human review
qwen-service-delay-015,"The concierge desk was closed for over two hours on our first morning, making it difficult to make important arrangements.",service_delay,qwen_synthetic_draft,2,qwen-generated draft; requires human review
qwen-service-delay-016,Our request to switch rooms was delayed for several days because the hotel manager was out of town.,service_delay,qwen_synthetic_draft,3,qwen-generated draft; requires human review
qwen-service-delay-017,"The spa department was understaffed, and our booking request had to wait until the following day due to a full schedule.",service_delay,qwen_synthetic_draft,2,qwen-generated draft; requires human review
qwen-service-delay-018,"We had to wait in line for over an hour at the restaurant, despite there being empty tables available outside.",service_delay,qwen_synthetic_draft,3,qwen-generated draft; requires human review
qwen-service-delay-019,"The hotel's customer service team was unresponsive during our stay, leading to several frustrating delays and issues.",service_delay,qwen_synthetic_draft,2,qwen-generated draft; requires human review
qwen-service-delay-020,Our request for room service was delayed by over an hour because the kitchen staff were running behind schedule.,service_delay,qwen_synthetic_draft,3,qwen-generated draft; requires human review
qwen-service-delay-021,I had to wait for over an hour at the front desk after my flight arrived. It was really frustrating.,service_delay,qwen_synthetic_draft,1,qwen-generated draft; requires human review
qwen-service-delay-022,The room service staff took twice as long as expected to bring my order. I was starting to worry about whether it was even coming.,service_delay,qwen_synthetic_draft,2,qwen-generated draft; requires human review
qwen-service-delay-023,"I asked for a glass of water at the pool, but nobody responded for almost half an hour. I ended up going somewhere else.",service_delay,qwen_synthetic_draft,3,qwen-generated draft; requires human review
qwen-service-delay-024,The concierge took forever to answer my inquiry about local restaurants. I left feeling disappointed.,service_delay,qwen_synthetic_draft,1,qwen-generated draft; requires human review
qwen-service-delay-025,"I had to wait for over an hour at the restaurant, and when we finally sat down, it took another 20 minutes just to be seated.",service_delay,qwen_synthetic_draft,2,qwen-generated draft; requires human review
qwen-service-delay-026,The bellhop was nowhere to be found when I asked for help with my luggage. It was a bit disorienting in such a busy place.,service_delay,qwen_synthetic_draft,3,qwen-generated draft; requires human review
qwen-service-delay-027,"I called the spa, but nobody answered for over an hour. I had to cancel my booking and find somewhere else.",service_delay,qwen_synthetic_draft,1,qwen-generated draft; requires human review
qwen-service-delay-028,The room service staff took forever to bring me a drink when I was feeling sick. It made things worse.,service_delay,qwen_synthetic_draft,2,qwen-generated draft; requires human review
qwen-service-delay-029,"I asked for assistance at the hotel store, but nobody responded for almost an hour. I had to leave without making any purchases.",service_delay,qwen_synthetic_draft,3,qwen-generated draft; requires human review
qwen-service-delay-030,The restaurant staff took twice as long as expected to bring my meal. It was a real disappointment.,service_delay,qwen_synthetic_draft,1,qwen-generated draft; requires human review
qwen-service-delay-031,I had to wait for over an hour just to check-in despite being checked in online. It's frustrating and shows a lack of organization.,service_delay,qwen_synthetic_draft,2,qwen-generated draft; requires human review
qwen-service-delay-032,"The room service was delayed by several hours, and when they finally arrived, the food wasn't even warm. This is unacceptable.",service_delay,qwen_synthetic_draft,3,qwen-generated draft; requires human review
qwen-service-delay-033,"I asked for help with my luggage at check-in, but nobody assisted me, so I had to wait an extra half hour to get it settled. It's really disappointing.",service_delay,qwen_synthetic_draft,2,qwen-generated draft; requires human review
qwen-service-delay-034,The restaurant was understaffed and slow to serve us. We waited in line for our food for over 30 minutes. This is a huge issue that needs addressing.,service_delay,qwen_synthetic_draft,4,qwen-generated draft; requires human review
qwen-service-delay-035,"I called room service multiple times, but they never responded. When I finally got someone on the phone, it was after an hour of waiting. This is unacceptable.",service_delay,qwen_synthetic_draft,2,qwen-generated draft; requires human review
qwen-service-delay-036,I had to wait for almost two hours in line for a shuttle service from the airport due to bad planning. It's really frustrating and affects my entire trip.,service_delay,qwen_synthetic_draft,3,qwen-generated draft; requires human review
qwen-service-delay-037,"The hotel staff was unhelpful when I asked about room changes. They didn't provide any assistance, so I had to stay an extra night at another hotel. This is a big inconvenience.",service_delay,qwen_synthetic_draft,2,qwen-generated draft; requires human review
qwen-service-delay-038,"I scheduled my laundry service online, but they never picked it up. I had to wait for two days before they finally came and picked it up. It's really disappointing.",service_delay,qwen_synthetic_draft,4,qwen-generated draft; requires human review
qwen-service-delay-039,"The concierge desk was understaffed, and when I asked about reservations, nobody responded until an hour later. This is a huge issue that needs fixing.",service_delay,qwen_synthetic_draft,2,qwen-generated draft; requires human review
qwen-service-delay-040,"I had to wait for over an hour at the front desk just to get my keycard, despite it being available online. It's really frustrating and shows a lack of organization.",service_delay,qwen_synthetic_draft,3,qwen-generated draft; requires human review
qwen-staff-behavior-001,The staff were very rude and unhelpful throughout my stay. They ignored our requests for assistance and left us feeling frustrated. I would never return to a hotel with such poor customer service.,staff_behavior,qwen_synthetic_draft,1,qwen-generated draft; requires human review
qwen-staff-behavior-002,"The front desk staff were incredibly friendly and efficient, making my check-in process quick and stress-free.",staff_behavior,qwen_synthetic_draft,5,qwen-generated draft; requires human review
qwen-staff-behavior-003,Our room was assigned to an unhelpful bellhop who refused to assist us with any requests. He seemed indifferent and did not care about our needs.,staff_behavior,qwen_synthetic_draft,2,qwen-generated draft; requires human review
qwen-staff-behavior-004,"The hotel staff were very helpful and accommodating, ensuring that we had everything we needed during our stay.",staff_behavior,qwen_synthetic_draft,4,qwen-generated draft; requires human review
qwen-staff-behavior-005,Our experience was negatively impacted by the attitude of the housekeeping staff. They arrived late and left without cleaning properly.,staff_behavior,qwen_synthetic_draft,3,qwen-generated draft; requires human review
qwen-staff-behavior-006,"The customer service at this hotel was outstanding, with all staff members being kind and professional throughout our visit.",staff_behavior,qwen_synthetic_draft,5,qwen-generated draft; requires human review
qwen-staff-behavior-007,The staff at the concierge desk were very helpful and provided excellent recommendations for local attractions and dining options.,staff_behavior,qwen_synthetic_draft,4,qwen-generated draft; requires human review
qwen-staff-behavior-008,"Our stay was marred by the incompetence of the maintenance team. They did not fix the leaky faucet promptly, leading to a wet room.",staff_behavior,qwen_synthetic_draft,2,qwen-generated draft; requires human review
qwen-staff-behavior-009,The hotel staff were exceptionally friendly and made us feel welcome during our brief stay. They exceeded expectations in every way.,staff_behavior,qwen_synthetic_draft,5,qwen-generated draft; requires human review
qwen-staff-behavior-010,Our dining experience was ruined by the unhelpful waiter who seemed more interested in his phone than in attending to our table.,staff_behavior,qwen_synthetic_draft,3,qwen-generated draft; requires human review
qwen-staff-behavior-011,The staff were incredibly helpful and friendly throughout my stay. They went above and beyond to make me feel welcome.,staff_behavior,qwen_synthetic_draft,5,qwen-generated draft; requires human review
qwen-staff-behavior-012,My experience with the hotel staff was very disappointing. They were unprofessional and冷漠.,staff_behavior,qwen_synthetic_draft,1,qwen-generated draft; requires human review
qwen-staff-behavior-013,The service from our room attendants was excellent. They promptly attended to all my requests without any delay.,staff_behavior,qwen_synthetic_draft,5,qwen-generated draft; requires human review
qwen-staff-behavior-014,"I had a terrible experience with the hotel staff. They were rude and unhelpful, which made my stay unpleasant.",staff_behavior,qwen_synthetic_draft,1,qwen-generated draft; requires human review
qwen-staff-behavior-015,The staff at our resort were very courteous and attentive. Their excellent service really enhanced my holiday experience.,staff_behavior,qwen_synthetic_draft,5,qwen-generated draft; requires human review
qwen-staff-behavior-016,I found the hotel staff to be unhelpful and unprofessional. They did not seem interested in assisting me with any issues I had.,staff_behavior,qwen_synthetic_draft,1,qwen-generated draft; requires human review
qwen-staff-behavior-017,Our stay at the hotel was ruined by the poor service from the staff. They were indifferent and made our visit stressful.,staff_behavior,qwen_synthetic_draft,1,qwen-generated draft; requires human review
qwen-staff-behavior-018,The hotel staff were incredibly kind and supportive during my difficult time. Their kindness made all the difference.,staff_behavior,qwen_synthetic_draft,5,qwen-generated draft; requires human review
qwen-staff-behavior-019,"I had a very bad experience with the hotel staff. They were unhelpful, disrespectful, and冷漠.",staff_behavior,qwen_synthetic_draft,1,qwen-generated draft; requires human review
qwen-staff-behavior-020,The service from the hotel staff was exceptional. They made sure all my needs were met efficiently and courteously.,staff_behavior,qwen_synthetic_draft,5,qwen-generated draft; requires human review
qwen-staff-behavior-021,The staff was extremely friendly and helpful throughout my stay.,staff_behavior,qwen_synthetic_draft,5,qwen-generated draft; requires human review
